Street Name,House #,Zip Code,Visit 1 (11-18-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 2 (12-2-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 3 (12-9-22),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes,Visit 4 (1-27-23),% full,Plastic bags/wrap,Clamshell,Napkins/tissue,Black plastic/takeout,Food/Liquid,Foil/alum,Styro,SUPs,Other/Notes
TRAMORE DR.,160,27516,L,75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"receipts, plastic molding",L,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,glass bulb,O,50,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,O,50,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,161,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,I,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,162,27516,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"wrapping paper, receipts",N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,163,27516,S,25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,100,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,100,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,164,27516,L,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,metal spoon,L,75,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,receipts,O,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"cotton pad, candle glass",S,25,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,165,27516,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,75,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,pump,S,75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,203,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,O,75,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"mailer, glove, rigid plastic",O,25,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
TRAMORE DR.,301,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,L,50,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,S,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,303,27516,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
TRAMORE DR.,305,27516,L,75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,receipts,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,N,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
