Visit 1 (9-22-22),Count of Visit 1 (9-22-22),,,Visit 2 (10-6-22),Count of Visit 2 (10-6-22),,,Visit 3 (11-3-22),Count of Visit 3,,,Visit 4 (11-17-22),Count,,,,,
N,53,,,N,73,,,N,59,,,N,46,,,,,
S,39,,,O,22,,,S,37,,,S,44,,,,,
O,18,,,S,21,,,L,18,,,L,21,,,,,
L,12,,,L,14,,,O,18,,,O,21,,,,,
I,12,,,I,4,,,Grand Total,132,,,Grand Total,132,,,,,
Grand Total,134,,,Grand Total,134,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Visit 1 (9-22-22),Count of Visit 1 (9-22-22),,,Visit 2 (10-6-22),Count of Visit 2 (10-6-22),,,Visit 3,Count,,,Visit 4 (11-17-22),Count,,,Total,Count,Percent
S,39,57%,,O,22,39%,,S,37,50%,,S,44,51%,,S,141,49
O,18,26%,,S,21,37%,,L,18,25%,,L,21,24%,,L,65,23
L,12,17%,,L,14,25%,,O,18,25%,,O,21,24%,,O,79,28
Grand Total,69,,,Grand Total,57,,,Grand Total,73,,,Grand Total,86,,,Grand Total,285,
